round,loss,dice,dice1,dice2,dice3
1,3.1404738962297607,0.11161655,0.17218411,0.005602184,0.15706335
2,3.022114869405532,0.12715468,0.1689961,0.0007248354,0.21174309
3,2.9124226570129395,0.14245528,0.1715126,0.000104999664,0.25574824
4,2.813186775297808,0.1735758,0.28452688,0.00020756906,0.23599291
5,2.669542481913369,0.21633284,0.2539387,0.0018793632,0.3931804
6,2.587727789342756,0.22824876,0.31943205,0.009811981,0.35550228
7,2.3960184345583944,0.29900602,0.30598342,0.078091726,0.51294285
8,2.2997935340249325,0.36569977,0.35055572,0.2468125,0.49973103
9,2.165761977257813,0.4092397,0.33013773,0.3803616,0.5172198
10,2.031833397566214,0.4374165,0.3659532,0.41930056,0.5269957
11,1.8866711227146127,0.46856067,0.3759662,0.45057765,0.57913816
12,1.8045477923556899,0.4831779,0.41075522,0.45386374,0.58491474
13,1.7346389716898902,0.4892664,0.42710552,0.44295695,0.59773666
14,1.6663959015755965,0.49863216,0.44069585,0.44985768,0.6053429
15,1.6032852311811503,0.5112623,0.45111966,0.45949572,0.6231713
16,1.563653487425584,0.51622725,0.4700578,0.45526698,0.62335694
17,1.5196978195884523,0.5268322,0.46998185,0.4699679,0.64054686
18,1.424991843263073,0.5544699,0.48049137,0.5282468,0.65467143
19,1.4047203335536302,0.5557419,0.48859003,0.5285352,0.6501004
20,1.3828764314482198,0.5597366,0.49613786,0.52427906,0.6587928
21,1.4313606171918338,0.54089016,0.5030943,0.4822101,0.637366
22,1.3807762907101557,0.55572844,0.49909478,0.50051373,0.66757685
23,1.3129404296536418,0.5783989,0.5183183,0.53561056,0.6812677
24,1.3944073506360928,0.55036736,0.5041184,0.49391165,0.6530719
25,1.2873173945048857,0.5838128,0.52390206,0.5477403,0.67979586
26,1.3292953573035065,0.5690772,0.5175373,0.52261955,0.66707474
27,1.2833941624714778,0.58560944,0.5256103,0.5473688,0.683849
28,1.2647531949556792,0.590242,0.5203135,0.550064,0.7003485
29,1.273957111426359,0.5863611,0.5353425,0.53852457,0.6852161
30,1.2981561104926838,0.57760394,0.5314162,0.52289695,0.67849857
31,1.2788251215184228,0.5839224,0.52691656,0.5309866,0.693864
32,1.2455275157499595,0.5958735,0.5362181,0.5586116,0.69279057
33,1.2494418211942593,0.59297055,0.529801,0.5479138,0.7011968
34,1.2682503222008428,0.58774966,0.5373061,0.5361608,0.689782
35,1.2370722265638543,0.59729,0.53829235,0.5464319,0.7071457
36,1.2291392165528248,0.5999311,0.54005873,0.55839384,0.70134073
37,1.2143994252357257,0.60440683,0.5517448,0.5626117,0.698864
38,1.278713069723908,0.58250785,0.5448899,0.5186737,0.68395996
39,1.2457381046029943,0.5927734,0.5354772,0.5454248,0.69741803
40,1.244039785932507,0.5929148,0.5377671,0.5435834,0.69739383
41,1.250360911414468,0.5916494,0.5350892,0.5421415,0.69771737
42,1.255211649914465,0.5898,0.53794235,0.55345047,0.67800725
43,1.2042559367665173,0.60767907,0.55236,0.5681893,0.7024879
44,1.2044068035289381,0.6083,0.55808413,0.545013,0.7218027
45,1.1655757592979974,0.6215951,0.55877763,0.5585295,0.747478
46,1.1683669375950063,0.6235144,0.5724545,0.5600892,0.73799944
47,1.1428801410296965,0.63266844,0.5709934,0.5761584,0.75085336
48,1.1331886158892388,0.63676286,0.5655139,0.577468,0.7673066
49,1.139005432820179,0.6358718,0.57458365,0.57619166,0.75684017
50,1.1679185829924408,0.62521833,0.564836,0.55977046,0.7510485
51,1.1159920311538425,0.6443548,0.5700354,0.5950658,0.76796323
52,1.1063582660883842,0.6483718,0.59210944,0.5887491,0.7642568
53,1.095813399588568,0.65000564,0.58261347,0.6012407,0.76616275
54,1.089900527480086,0.65023685,0.58055246,0.6080346,0.76212335
55,1.078291420047805,0.6541523,0.5856914,0.60683465,0.76993054
56,1.1010426910671256,0.64752734,0.59321547,0.5944661,0.75490046
57,1.0750214616222495,0.656673,0.5826713,0.60828525,0.7790624
58,1.06804869725154,0.65863144,0.58743984,0.6088017,0.7796527
59,1.0723638167748084,0.65741956,0.58333987,0.61956584,0.76935303
60,1.0818050140459863,0.6536657,0.576812,0.60480255,0.77938247
61,1.052589211943587,0.6619074,0.59729016,0.61482465,0.7736073
62,1.0639401490871723,0.66068625,0.5852007,0.6091738,0.7876841
63,1.0246266920185654,0.67238176,0.59242517,0.64022875,0.7844912
64,1.044612472579324,0.66500807,0.58643955,0.61901987,0.78956485
65,1.0263437928532708,0.6714892,0.5945804,0.62910104,0.79078597
66,1.0174682288480228,0.67366767,0.5937024,0.6331767,0.7941239
67,1.072113093539808,0.65403575,0.57862025,0.60933757,0.7741494
