round,loss,dice,dice1,dice2,dice3
1,3.371338121989775,0.023614239,0.0023034357,0.017748348,0.05079093
2,3.2735197981433757,0.03140691,0.00015676138,0.0036813135,0.09038265
3,3.1761797377343712,0.075129725,0.03840197,0.00059466995,0.18639253
4,3.137939558932062,0.0050269812,3.0285764e-07,1.2807428e-07,0.015080512
5,3.0851956485996586,0.10278049,0.098988935,0.00021348285,0.20913906
6,3.050310501685509,0.03425608,3.0728253e-07,1.2854355e-07,0.102767795
7,3.012182445921136,0.11184742,0.15061133,0.0003517207,0.18457922
8,2.9978183035314436,0.026802896,3.0740614e-07,1.2862591e-07,0.080408245
9,2.926126439190475,0.13658778,0.21479447,1.2862404e-07,0.19496873
10,2.8967158018484622,0.093565285,0.14224428,1.2862589e-07,0.13845146
11,2.872033756865552,0.13601974,0.2059647,4.7634683e-05,0.20204683
12,2.827148364140437,0.11497205,0.07659574,1.2862591e-07,0.26832026
13,2.779740028832791,0.14541215,0.22191532,0.00036527333,0.21395585
14,2.69273361510779,0.15379128,0.10310622,1.2862591e-07,0.3582675
15,2.615985417507104,0.19173549,0.27678573,1.286243e-07,0.2984206
16,2.562090714302289,0.20609605,0.23030493,6.752054e-05,0.3879157
17,2.598609831206192,0.17773096,0.27151042,0.0035408486,0.25814164
18,2.8493311814302524,0.06075131,0.1479839,1.2862591e-07,0.0342699
19,2.611573096563125,0.16326278,0.19057648,0.00883171,0.29038018
20,2.652655514034294,0.14055398,0.24216434,0.00051015994,0.17898744
21,2.5919799832902717,0.16142151,0.25373557,0.010090158,0.22043876
22,2.6292191807334944,0.15959875,0.24931437,0.017286548,0.21219532
23,2.4610956632173977,0.2039403,0.22447243,0.05808688,0.32926157
24,2.453168167870426,0.2409107,0.29584762,0.117833294,0.30905116
25,2.28605333517289,0.30835146,0.27218235,0.2378305,0.41504145
26,2.3716921919196317,0.2764314,0.32414636,0.18925932,0.31588855
27,2.146163644169915,0.385135,0.3156054,0.39189798,0.44790158
28,2.2228042409264828,0.31909674,0.37260994,0.22811647,0.35656378
29,2.0607979015485776,0.39518046,0.3551269,0.36167654,0.46873796
30,2.0628790001897417,0.37988156,0.39200777,0.33735648,0.4102804
31,1.9978952626504842,0.39616078,0.26946703,0.39418522,0.5248301
32,1.9609420983749029,0.40729415,0.35219097,0.3412613,0.5284302
33,2.596606515568389,0.1456011,0.16400936,0.021533769,0.25126013
34,2.0847817624109033,0.36601192,0.3573797,0.34484777,0.39580822
35,2.310300723335447,0.25876695,0.28581828,0.14124645,0.34923604
36,1.7674221498726388,0.46103776,0.4391853,0.45028248,0.4936455
37,2.5953453786274383,0.14711884,0.216155,0.06991471,0.15528682
38,1.8482111339738383,0.43177933,0.3703933,0.43117604,0.49376863
39,2.0499506695030707,0.3415055,0.2938494,0.21239273,0.5182743
40,1.79207070550975,0.4506064,0.3859884,0.4131835,0.55264723
41,1.9310362628225743,0.37944254,0.3340684,0.23781633,0.56644285
42,1.63467732054242,0.4917,0.4541296,0.49146095,0.52950937
43,1.9951210861375346,0.3595097,0.28020555,0.26323268,0.53509086
44,1.5261910240325702,0.53113997,0.46678504,0.5220662,0.60456866
45,2.0311532055837866,0.3408092,0.36698318,0.17026411,0.4851802
46,1.6630338105929674,0.48063096,0.44524297,0.4697724,0.5268776
47,2.3535876605637682,0.22748923,0.30746365,0.14383039,0.23117363
48,1.5010199522125651,0.53102994,0.49945384,0.5216745,0.57196134
49,2.2015338085106846,0.28070864,0.3015304,0.16922535,0.37137017
50,1.619882167091031,0.50130355,0.3658508,0.51669705,0.6213626
51,1.7488617029415785,0.437301,0.34044504,0.4195369,0.551921
52,1.577992376491163,0.49656624,0.4738716,0.37591726,0.6399098
53,1.7188804199004315,0.45158553,0.35820585,0.43933097,0.5572197
54,1.6062910503889682,0.48490757,0.49348328,0.3595364,0.6017029
55,1.4962689559135212,0.5272219,0.41201288,0.48788506,0.68176776
56,1.4929287193794927,0.51980996,0.50951034,0.39921683,0.6507026
57,1.5260895695206682,0.5114976,0.38156304,0.5008887,0.65204096
58,1.4656086807420268,0.53166777,0.484301,0.47184324,0.63885903
59,1.5539017538347188,0.5005679,0.49700874,0.4026841,0.6020109
60,1.3439441221000175,0.5739113,0.5344963,0.5214614,0.665776
61,1.7393234142890344,0.43589276,0.48412758,0.2987319,0.5248188
62,1.4962337764762563,0.5259212,0.48606724,0.51030034,0.5813959
63,1.725459002884182,0.43667388,0.3989173,0.33231807,0.57878625
64,1.5625679468262126,0.5072193,0.40607154,0.48185423,0.63373226
65,1.6214079306675837,0.47270092,0.2933942,0.45853627,0.6661723
66,1.4057059637188205,0.5538504,0.46462187,0.49109265,0.7058367
67,1.3921606209151138,0.5545131,0.4646387,0.5078824,0.69101804
68,1.4290841267659113,0.54641783,0.5236118,0.45853934,0.6571022
69,1.4056221070374257,0.5490124,0.4208653,0.5323911,0.6937809
70,1.5182001915203749,0.5217408,0.4380239,0.47672343,0.65047497
71,1.5190075685286664,0.5101002,0.40858623,0.43047848,0.6912358
72,1.2989902027259916,0.58749694,0.5370166,0.5582794,0.6671949
73,1.8214454940084874,0.4073945,0.5000813,0.23549758,0.48660463
74,1.2734893613313076,0.5953305,0.5743959,0.53535783,0.6762376
75,1.7297157613483407,0.4538936,0.5282381,0.30330992,0.5301327
76,1.3506475630596544,0.5711365,0.51806766,0.5649534,0.63038844
77,1.4179968022735867,0.53998494,0.5403909,0.43517652,0.6443874
78,1.2720228204360375,0.5953981,0.52278227,0.5681641,0.6952479
79,1.439929411961482,0.53619474,0.4781423,0.4525632,0.6778786
80,1.2469119976258136,0.61091375,0.49542007,0.59071356,0.74660766
81,1.5341041430213747,0.50672245,0.3742009,0.44944665,0.6965198
82,1.252621772726612,0.6109329,0.5102483,0.5934657,0.7290846
83,1.6537303423740455,0.46886632,0.44942895,0.31988046,0.6372895
84,1.2659365682912296,0.5992806,0.5535802,0.56851953,0.675742
85,1.4975483791362605,0.5264456,0.49583164,0.37616473,0.7073405
86,1.2508469312148687,0.6085986,0.56495845,0.56203634,0.69880074
87,1.3445186223504106,0.58582735,0.52359766,0.5038042,0.73008
88,1.4090874829941247,0.55108756,0.34575886,0.58627355,0.7212302
89,1.1743426277087285,0.636895,0.54695743,0.57996136,0.78376615
90,1.3475282075842456,0.58728814,0.5550025,0.5406727,0.6661892
91,1.2505641043538878,0.6082759,0.53038734,0.5466328,0.7478075
92,1.3125022328816927,0.5833394,0.50324464,0.54659015,0.70018345
93,1.368617385449494,0.5773951,0.49968866,0.5004843,0.7320121
