round,loss,dice,dice1,dice2,dice3
1,1.8987981908261988,1.2450639e-07,1.8003723e-07,7.692291e-08,1.1655899e-07
2,1.819475166314013,1.0578248e-05,1.8488258e-07,7.7358635e-08,3.1472504e-05
3,1.7829824927862854,0.0044816984,1.8488258e-07,7.735864e-08,0.013444832
4,1.743865816618624,0.018712277,1.8488261e-07,7.7358635e-08,0.056136567
5,1.6342229503753771,0.06857502,0.009390107,0.0006012709,0.19573367
6,1.4885534417162587,0.12740886,0.064729646,0.06915293,0.24834399
7,1.339877040360746,0.21825483,0.11588928,0.18903649,0.3498387
8,1.2375923972112852,0.25040612,0.19371764,0.2636047,0.29389596
9,0.9992186730442523,0.30314913,0.23768838,0.30912682,0.36263216
10,0.9269912281070316,0.3209415,0.25413746,0.32129896,0.3873881
11,0.9005925294767495,0.31904578,0.23787971,0.3036163,0.4156414
12,0.8185662181776189,0.34662136,0.26521224,0.34898645,0.4256654
13,0.7321816133434662,0.3686002,0.2884807,0.37160373,0.44571605
14,0.6943222873999979,0.37979674,0.3255703,0.36989117,0.44392878
15,0.7046951167948305,0.37484038,0.31176645,0.3695395,0.44321516
16,0.6637298382049778,0.38742906,0.33730754,0.3723328,0.45264673
17,0.6259855958914842,0.39871097,0.3444587,0.3843324,0.46734172
18,0.6049784082534899,0.4056406,0.3624394,0.38524836,0.469234
19,0.5902720369478137,0.40998062,0.35632896,0.39409983,0.479513
20,0.5430158482751812,0.4253932,0.37728736,0.40714768,0.49174455
21,0.532287889740221,0.42848846,0.38637227,0.40804976,0.49104336
22,0.48626618389557263,0.4434708,0.40503386,0.42419225,0.5011863
23,0.4947070489998814,0.44044325,0.39627293,0.42397034,0.5010865
24,0.487200956115519,0.4426971,0.40867168,0.41130278,0.50811684
25,0.5079731504263827,0.43545824,0.3949603,0.41148797,0.49992642
26,0.48352875213181845,0.44409412,0.39244136,0.432216,0.507625
27,0.46503311310798673,0.44988546,0.40906632,0.43271005,0.5078799
28,0.44149305472594563,0.45725513,0.41252393,0.44245958,0.51678187
29,0.4519072134723867,0.4538749,0.4208656,0.4320907,0.5086683
30,0.4134389206607995,0.4665223,0.437641,0.4435026,0.5184233
31,0.41335789397942213,0.466362,0.4365489,0.44624424,0.5162928
