round,loss,dice,dice1,dice2,dice3
1,3.234459762573242,0.069484666,0.16275871,0.044782337,0.0009129484
2,3.0754549980163572,0.07131131,0.19172926,0.0011914128,0.02101326
3,2.9673097801208494,0.09335783,0.25382462,0.020112662,0.0061362204
4,2.9049309730529784,0.0968989,0.2702625,0.00029618834,0.020138
5,2.8112095260620116,0.13645218,0.26926014,0.009724065,0.13037235
6,2.736444187164307,0.11657735,0.311351,0.003435462,0.03494559
7,2.654150333404541,0.13237464,0.06502673,0.007269572,0.32482764
8,2.671872406005859,0.123008,0.36720267,0.001801062,2.0221898e-05
9,2.5016453647613526,0.20851806,0.39940113,0.0800141,0.14613889
10,2.58178147315979,0.18002562,0.3642594,0.14039075,0.035426743
11,2.3469258308410645,0.33833772,0.44686824,0.27480954,0.29333532
12,2.462437686920166,0.2298861,0.34585762,0.15593137,0.18786934
13,2.3184965324401854,0.31579372,0.3846695,0.33151478,0.23119688
14,2.3210461235046385,0.27322453,0.29376757,0.23067233,0.29523364
15,2.1349030208587645,0.3558229,0.48538512,0.3525564,0.22952715
16,2.1599542808532717,0.31153753,0.42721722,0.14770861,0.35968673
17,1.961998119354248,0.40287882,0.5236245,0.39263555,0.2923764
18,2.1564886665344236,0.30926335,0.5112408,0.21616077,0.20038845
19,1.8820623016357423,0.42241928,0.4962965,0.44235167,0.32860968
20,1.899658374786377,0.40140045,0.45568427,0.41390193,0.33461514
21,2.0564539527893064,0.34092423,0.44336417,0.34210873,0.23729984
22,1.620131072998047,0.49634358,0.5808327,0.4748309,0.43336713
23,1.8312111234664916,0.41416484,0.51188886,0.40899244,0.3216132
24,1.6597647094726562,0.47393808,0.58181256,0.4247843,0.41521734
25,1.8589252853393554,0.40244552,0.48222435,0.39837876,0.3267335
26,1.7202938461303712,0.44665274,0.55682373,0.3804868,0.4026476
27,1.638437032699585,0.47502327,0.5381702,0.47766554,0.409234
28,1.6478507232666015,0.4692992,0.5757133,0.43994966,0.39223468
29,1.6147965478897095,0.47917277,0.54860663,0.45788062,0.431031
30,1.6035078191757202,0.4824652,0.5966442,0.40263817,0.4481132
31,1.5767268657684326,0.49201545,0.56989324,0.51220226,0.39395085
32,1.7082622337341309,0.4437797,0.5752826,0.35330257,0.4027539
33,1.4937521815299988,0.5182154,0.59947664,0.54721063,0.40795892
34,1.7370964479446411,0.43338197,0.5840164,0.35652667,0.35960284
35,1.6100975131988526,0.47895855,0.54166687,0.5155981,0.37961048
36,1.7830110502243042,0.4181406,0.48649588,0.3794029,0.38852295
37,1.4731318378448486,0.5225442,0.59978163,0.5466474,0.42120352
38,1.6970722579956055,0.4463019,0.5705469,0.4331533,0.3352054
39,1.5911214637756348,0.48183626,0.60588175,0.46749204,0.3721349
40,1.7905073547363282,0.4166921,0.5167623,0.4328837,0.30043024
41,1.5933564853668214,0.48083147,0.6114893,0.45398685,0.37701818
42,1.6823576498031616,0.45118237,0.58860797,0.47614363,0.28879553
43,1.6387068080902099,0.4644031,0.59994,0.41513485,0.37813434
44,1.6584241437911986,0.45818138,0.5731117,0.43954018,0.36189228
45,1.5400146675109863,0.49707982,0.6288679,0.4759574,0.38641414
46,1.6660084819793701,0.45579606,0.62679666,0.39095703,0.34963444
47,1.4863290214538574,0.5162046,0.64998436,0.5608223,0.3378071
48,1.522304277420044,0.5038451,0.6720445,0.43755957,0.40193102
49,1.419284520149231,0.54020023,0.6593571,0.5636653,0.3975783
50,1.562933325767517,0.49124074,0.6820071,0.36339664,0.42831847
51,1.5072502613067627,0.5085728,0.6204173,0.497107,0.40819412
52,1.355651297569275,0.5611047,0.7083076,0.51469606,0.46031043
53,1.3517407941818238,0.5600767,0.6899451,0.5500153,0.44026974
54,1.3614491271972655,0.55745363,0.6978866,0.49518114,0.47929305
55,1.3858800554275512,0.55032367,0.67873174,0.5274662,0.44477293
56,1.2938580751419066,0.57936406,0.6975727,0.5521375,0.48838195
57,1.4379691553115845,0.5302721,0.6761007,0.46344274,0.45127285
58,1.401637749671936,0.54451966,0.666334,0.550519,0.416706
59,1.5417071437835694,0.4948197,0.68221074,0.37917796,0.42307028
60,1.4688665437698365,0.51966965,0.64712685,0.51122373,0.40065822
61,1.3376130533218384,0.56352985,0.6998358,0.5322397,0.45851395
62,1.3579035472869874,0.5602767,0.6977488,0.55910605,0.4239753
63,1.3672998523712159,0.55236894,0.69439375,0.46719268,0.49552038
64,1.3549672150611878,0.55905366,0.7020336,0.5795073,0.39561996
65,1.2367054390907288,0.5967056,0.72084516,0.5512582,0.51801354
66,1.2317225742340088,0.5999783,0.710658,0.58261704,0.50665975
67,1.3246772289276123,0.5687839,0.70508564,0.5131664,0.4880994
68,1.314924693107605,0.57112944,0.7173345,0.5517823,0.44427145
69,1.3105416345596312,0.5750839,0.7214576,0.55446184,0.44933227
70,1.3772624683380128,0.5504458,0.7399846,0.5280304,0.3833225
71,1.27211101770401,0.5890635,0.74271554,0.56088316,0.46359184
72,1.3195948934555053,0.57302284,0.68831533,0.5675983,0.4631548
73,1.1757287740707398,0.6196299,0.74713117,0.55531055,0.556448
74,1.2669519472122193,0.58769834,0.7335542,0.5894999,0.44004077
75,1.3233967733383178,0.56833076,0.7391541,0.501334,0.4645043
76,1.287265408039093,0.57992876,0.74104816,0.5835712,0.41516697
77,1.3526145148277282,0.55801374,0.72576314,0.5154637,0.43281427
78,1.2561906814575194,0.5923756,0.74168515,0.59312874,0.4423128
79,1.3032061576843261,0.57592845,0.76201206,0.5302277,0.43554553
80,1.3219353437423706,0.56942415,0.7124943,0.58550125,0.41027683
81,1.2557626819610597,0.5922665,0.7411466,0.53537995,0.50027287
82,1.3126959991455078,0.57401466,0.7509391,0.54685986,0.424245
83,1.259049994945526,0.5896613,0.75173473,0.5950468,0.42220238
84,1.2720301008224488,0.58854455,0.7381523,0.5342098,0.49327147
85,1.3858617782592773,0.54638803,0.7177574,0.5513596,0.3700471
86,1.2779675436019897,0.58325887,0.7511323,0.53140867,0.46723545
87,1.3214808821678161,0.5679423,0.7365035,0.56297356,0.40434977
88,1.3313284015655518,0.5668405,0.75157225,0.5276688,0.4212805
89,1.3898454546928405,0.54484785,0.7239906,0.5099733,0.40057948
90,1.2154617595672608,0.6021564,0.7563742,0.5663381,0.48375675
91,1.3649351024627685,0.55644214,0.7147932,0.5419144,0.4126188
92,1.284877486228943,0.5803416,0.7575722,0.5459819,0.43747064
93,1.3481660270690918,0.5603881,0.7415939,0.52080625,0.41876414
94,1.2255624890327455,0.6004503,0.7520832,0.57162935,0.47763827
95,1.4038304138183593,0.54122216,0.7379473,0.49209744,0.39362165
96,1.1141318464279175,0.6390722,0.7663639,0.6262681,0.5245844
97,1.2969329142570496,0.5750686,0.7573024,0.5489641,0.41893917
98,1.3076426553726197,0.57969517,0.7504657,0.5766371,0.4119827
99,1.3145143938064576,0.5688061,0.730016,0.5200648,0.4563375
100,1.2823906326293946,0.5852448,0.76793975,0.5695261,0.41826838
101,1.2039315128326415,0.60735524,0.7519575,0.55900043,0.5111078
102,1.287112545967102,0.57793325,0.7556619,0.582046,0.39609176
103,1.3293600177764893,0.5648866,0.74415886,0.544558,0.40594304
104,1.291423692703247,0.58063126,0.7562968,0.561424,0.42417273
105,1.1816799902915955,0.6151001,0.7406448,0.6044702,0.50018525
106,1.3366024899482727,0.56475866,0.7624285,0.46670642,0.4651411
107,1.2796997213363648,0.58371496,0.72797436,0.5811893,0.44198123
108,1.303349666595459,0.5742563,0.7698377,0.57017285,0.38275826
109,1.3783243703842163,0.55180264,0.6891456,0.5070034,0.4592587
110,1.1866860675811768,0.6130949,0.7548782,0.5866986,0.49770793
111,1.195000638961792,0.6168364,0.7570809,0.58113194,0.5122964
112,1.1880172061920167,0.6133174,0.744551,0.57771057,0.5176905
113,1.3089723181724549,0.57230604,0.7235125,0.5593069,0.4340987
114,1.2853677892684936,0.58001894,0.73763573,0.5374812,0.46493986
115,1.2359427309036255,0.5979346,0.7339756,0.5976387,0.46218944
116,1.3321233224868774,0.5641562,0.7408191,0.5317923,0.41985717
117,1.2270227575302124,0.5991075,0.72711235,0.5911037,0.47910628
118,1.272829270362854,0.5850322,0.7512583,0.55795616,0.44588226
119,1.2486964654922486,0.5936144,0.75000745,0.5529996,0.47783598
120,1.2328875207901,0.59772867,0.73504835,0.5631772,0.49496028
121,1.2511389255523682,0.59190935,0.75062346,0.5405341,0.4845705
122,1.3116149377822877,0.57367444,0.71470135,0.5369889,0.4693329
123,1.2336178779602052,0.5971354,0.7348734,0.56127995,0.4952528
124,1.3955840682983398,0.5435442,0.71193075,0.47812372,0.4405781
125,1.271103630065918,0.58538425,0.7157933,0.55180794,0.48855135
126,1.3099188661575318,0.57030714,0.7325653,0.5359035,0.44245255
127,1.3127568697929382,0.5700542,0.7073951,0.5365087,0.46625876
128,1.2145787811279296,0.60427356,0.74347967,0.54552865,0.52381223
129,1.252464473247528,0.59250295,0.7066307,0.5818285,0.48904967
130,1.2095734405517578,0.60980463,0.74332017,0.5748208,0.51127297
131,1.416488823890686,0.5357258,0.7151158,0.4924098,0.39965165
132,1.1773812341690064,0.61641544,0.7482393,0.59505075,0.50595623
133,1.3069392251968384,0.57236207,0.73617727,0.51823735,0.4626715
134,1.1860216283798217,0.62006783,0.74859214,0.59121346,0.52039796
135,1.2002337980270386,0.6076921,0.7346528,0.5653851,0.5230383
136,1.3290760231018066,0.5713835,0.7182044,0.55844724,0.43749884
137,1.3456300020217895,0.557492,0.7197572,0.53166246,0.42105642
138,1.2236219692230224,0.6070416,0.7454309,0.5767853,0.4989085
139,1.3031159162521362,0.57338965,0.72259885,0.51267964,0.48489028
140,1.1842784309387206,0.6133194,0.7559163,0.5887161,0.49532565
141,1.3620899868011476,0.55536604,0.7063014,0.51631653,0.44348025
142,1.1703045630455018,0.6192931,0.75481004,0.59340817,0.509661
143,1.1830249500274659,0.6155714,0.72238195,0.5646938,0.5596382
144,1.1865632104873658,0.61513764,0.73088104,0.59157133,0.52296054
145,1.318247718811035,0.5686462,0.7356157,0.4962296,0.47409332
146,1.248594307899475,0.59107816,0.7434608,0.56205314,0.46772048
147,1.2217423820495605,0.60436934,0.72489434,0.5721362,0.5160774
148,1.2870616722106933,0.57689494,0.71793073,0.540651,0.472103
149,1.41123215675354,0.5362086,0.70979637,0.47463164,0.42419794
150,1.3786445140838623,0.5466919,0.70653325,0.52589977,0.40764257
151,1.3168870544433593,0.5675826,0.6961232,0.52886385,0.47776067
152,1.325410747528076,0.56479156,0.7652828,0.519465,0.40962684
153,1.3232201528549195,0.56736195,0.715109,0.52793443,0.45904228
154,1.254498381614685,0.5893296,0.756766,0.5541929,0.45702994
155,1.3441000175476074,0.5590013,0.7166033,0.5125214,0.44787928
156,1.2129597544670105,0.6038065,0.74768585,0.5709688,0.49276474
157,1.5113686990737916,0.5029608,0.67000604,0.4381949,0.40068144
158,1.1859177088737487,0.61120486,0.7729418,0.57008594,0.49058673
159,1.331271824836731,0.56213677,0.72216564,0.49969658,0.4645481
160,1.141525297164917,0.62646693,0.7519706,0.60617363,0.5212564
161,1.2166195964813233,0.6030496,0.7337353,0.5461061,0.52930725
162,1.115299186706543,0.63653797,0.7576254,0.5926423,0.55934614
163,1.3567076325416565,0.55450654,0.73181087,0.53602356,0.39568526
164,1.1268239140510559,0.6316893,0.7646995,0.6071317,0.52323675
165,1.2081197261810304,0.60378695,0.73445266,0.5540173,0.52289075
166,1.1474677991867066,0.62861407,0.75305235,0.5933709,0.5394189
167,1.3173861026763916,0.5680682,0.7312085,0.5202473,0.45274884
168,1.213918652534485,0.6027258,0.75418645,0.5700678,0.48392305
169,1.2925243997573852,0.57560253,0.7396521,0.5569938,0.4301616
170,1.3548958969116212,0.5546049,0.71958417,0.4761289,0.4681015
171,1.305231783390045,0.5721215,0.74035704,0.5390388,0.43696856
172,1.2485583782196046,0.5909591,0.7465932,0.5500706,0.47621334
173,1.283755202293396,0.57954097,0.7672935,0.53152794,0.43980148
174,1.335778694152832,0.56090593,0.7426029,0.5407094,0.39940533
175,1.4439399099349977,0.52560306,0.7102838,0.4877649,0.37876052
